account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes,total_calls,total_charges
128,415,no,yes,25,265,110,45,197,99,16,244,91,11,10,3,2,1,False,716,303,74
107,415,no,yes,26,161,123,27,195,103,16,254,103,11,13,3,3,1,False,623,332,57
137,415,no,no,0,243,114,41,121,110,10,162,104,7,12,5,3,0,False,538,333,61
84,408,yes,no,0,299,71,50,61,88,5,196,89,8,6,7,1,2,False,562,255,64
75,415,yes,no,0,166,113,28,148,122,12,186,121,8,10,3,2,3,False,510,359,50
118,510,yes,no,0,223,98,37,220,101,18,203,118,9,6,6,1,0,False,652,323,65
121,510,no,yes,24,218,88,37,348,108,29,212,118,9,7,7,2,3,False,785,321,77
147,415,yes,no,0,157,79,26,103,94,8,211,96,9,7,6,1,0,False,478,275,44
117,408,no,no,0,184,97,31,351,80,29,215,90,9,8,4,2,1,False,758,271,71
141,415,yes,yes,37,258,84,43,222,111,18,326,97,14,11,5,3,0,False,817,297,78
65,415,no,no,0,129,137,21,228,83,19,208,111,9,12,6,3,4,True,577,337,52
74,415,no,no,0,187,127,31,163,148,13,196,94,8,9,5,2,0,False,555,374,54
168,408,no,no,0,128,96,21,104,71,8,141,128,6,11,2,3,1,False,384,297,38
95,510,no,no,0,156,88,26,247,75,21,192,115,8,12,5,3,3,False,607,283,58
62,415,no,no,0,120,70,20,307,76,26,203,99,9,13,6,3,4,False,643,251,58
161,415,no,no,0,332,67,56,317,97,27,160,128,7,5,9,1,4,True,814,301,91
85,408,no,yes,27,196,139,33,280,90,23,89,75,4,13,4,3,1,False,578,308,63
93,510,no,no,0,190,114,32,218,111,18,129,121,5,8,3,2,3,False,545,349,57
76,510,no,yes,33,189,66,32,212,65,18,165,108,7,10,5,2,1,False,576,244,59
73,415,no,no,0,224,90,38,159,88,13,192,74,8,13,2,3,1,False,588,254,62
147,415,no,no,0,155,117,26,239,93,20,208,133,9,10,4,2,0,False,612,347,57
77,408,no,no,0,62,89,10,169,121,14,209,64,9,5,6,1,5,True,445,280,34
130,415,no,no,0,183,112,31,72,99,6,181,78,8,9,19,2,0,False,445,308,47
111,415,no,no,0,110,103,18,137,102,11,189,105,8,7,6,2,2,False,443,316,39
132,510,no,no,0,81,86,13,245,72,20,237,115,10,10,2,2,0,False,573,275,45
174,415,no,no,0,124,76,21,277,112,23,250,115,11,15,5,4,3,False,666,308,59
57,408,no,yes,39,213,115,36,191,112,16,182,115,8,9,3,2,0,False,595,345,62
54,408,no,no,0,134,73,22,155,100,13,102,68,4,14,4,3,3,False,405,245,42
20,415,no,no,0,190,109,32,258,84,21,181,102,8,6,6,1,0,False,635,301,62
49,510,no,no,0,119,117,20,215,109,18,178,90,8,11,1,3,1,False,523,317,49
142,415,no,no,0,84,95,14,136,63,11,250,148,11,14,6,3,2,False,484,312,39
75,510,no,no,0,226,105,38,201,107,17,246,98,11,10,5,2,1,False,683,315,68
172,408,no,no,0,212,121,36,31,115,2,293,78,13,12,10,3,3,False,548,324,54
12,408,no,no,0,249,118,42,252,119,21,280,90,12,11,3,3,1,True,792,330,78
57,408,no,yes,25,176,94,30,195,75,16,213,116,9,8,4,2,0,False,592,289,57
72,415,no,yes,37,220,80,37,217,102,18,152,71,6,14,6,3,3,False,603,259,64
36,408,no,yes,30,146,128,24,162,80,13,129,109,5,14,6,3,0,False,451,323,45
78,415,no,no,0,130,64,22,223,116,19,227,108,10,10,5,2,1,False,590,293,53
136,415,yes,yes,33,203,106,34,187,99,15,101,107,4,10,6,2,3,False,501,318,55
149,408,no,no,0,140,94,23,271,92,23,188,108,8,11,9,3,1,False,610,303,57
98,408,no,no,0,126,102,21,166,85,14,187,135,8,9,2,2,3,False,488,324,45
135,408,yes,yes,41,173,85,29,203,107,17,122,78,5,14,15,3,0,True,512,285,54
34,510,no,no,0,124,82,21,282,98,23,311,78,14,10,4,2,2,False,727,262,60
160,415,no,no,0,85,77,14,165,110,14,178,92,8,9,4,2,3,False,437,283,38
64,510,no,no,0,154,67,26,225,118,19,265,86,11,3,3,0,1,False,647,274,56
59,408,no,yes,28,120,97,20,213,92,18,163,116,7,8,5,2,2,False,504,310,47
65,415,no,no,0,211,120,35,162,122,13,134,118,6,13,5,3,3,False,520,365,57
142,408,no,no,0,187,133,31,134,74,11,242,127,10,7,5,2,2,False,570,339,54
119,415,no,no,0,159,114,27,231,117,19,143,91,6,8,3,2,5,True,541,325,54
97,415,no,yes,24,133,135,22,217,58,18,70,79,3,11,3,2,1,False,431,275,45
52,408,no,no,0,191,108,32,269,96,22,236,87,10,7,5,2,3,False,703,296,66
60,408,no,no,0,220,57,37,211,115,17,249,129,11,6,3,1,1,False,686,304,66
10,408,no,no,0,186,112,31,190,66,16,282,57,12,11,6,3,2,False,669,241,62
96,415,no,no,0,160,117,27,267,67,22,228,68,10,9,5,2,2,False,664,257,61
87,415,no,no,0,151,83,25,219,116,18,203,127,9,9,3,2,5,True,582,329,54
81,408,no,no,0,175,67,29,249,85,21,270,98,12,10,3,2,1,False,704,253,64
141,415,no,no,0,126,98,21,180,62,15,140,128,6,8,2,2,1,False,454,290,44
121,408,no,yes,30,198,129,33,75,77,6,181,77,8,5,3,1,3,True,459,286,48
68,415,no,no,0,148,70,25,246,164,20,129,103,5,12,3,3,3,False,535,340,53
125,408,no,no,0,229,103,38,177,126,15,189,95,8,12,8,3,1,False,607,332,64
174,408,no,no,0,192,97,32,169,94,14,166,54,7,11,4,3,1,False,538,249,56
116,415,no,yes,34,268,83,45,178,142,15,166,106,7,11,3,3,2,False,623,334,70
74,510,no,yes,33,193,91,32,246,96,20,138,92,6,14,3,3,2,False,591,282,61
149,408,no,yes,28,180,92,30,187,64,15,265,53,11,12,3,3,3,False,644,212,59
38,408,no,no,0,131,98,22,162,97,13,159,106,7,8,6,2,2,False,460,307,44
40,415,no,yes,41,148,74,25,169,88,14,214,102,9,6,5,1,2,False,537,269,49
43,415,yes,no,0,251,105,42,212,104,18,157,67,7,9,4,2,0,False,629,280,69
113,408,yes,no,0,125,93,21,206,119,17,129,139,5,8,8,2,0,False,468,359,45
126,408,no,no,0,211,70,35,216,80,18,153,60,6,7,1,2,1,False,587,211,61
150,510,no,no,0,178,101,30,169,110,14,148,100,6,13,3,3,4,True,508,314,53
138,408,no,no,0,241,93,41,170,83,14,295,104,13,11,7,3,3,False,717,287,71
162,510,no,yes,46,224,97,38,188,84,16,254,61,11,12,2,3,0,False,678,244,68
147,510,no,no,0,248,83,42,148,85,12,172,109,7,8,4,2,3,False,576,281,63
90,415,no,no,0,203,146,34,226,117,19,152,105,6,7,4,1,1,False,588,372,60
85,415,no,no,0,235,109,40,157,94,13,188,99,8,12,3,3,0,False,592,305,64
50,415,no,no,0,157,90,26,223,72,18,181,111,8,6,2,1,1,False,567,275,53
82,415,no,no,0,300,109,51,181,100,15,270,73,12,11,4,3,0,True,762,286,81
144,408,no,no,0,61,117,10,77,85,6,173,99,7,8,7,2,4,True,319,308,25
46,415,no,no,0,214,72,36,164,104,13,177,113,7,8,3,2,2,False,563,292,58
70,408,no,no,0,170,98,28,155,102,13,228,76,10,15,2,4,1,False,568,278,55
144,415,no,no,0,201,99,34,303,74,25,224,119,10,13,2,3,1,False,741,294,72
116,415,yes,no,0,215,104,36,204,79,17,278,109,12,12,5,3,3,False,709,297,68
55,408,no,yes,25,165,123,28,136,95,11,175,90,7,11,2,2,3,False,487,310,48
70,415,no,yes,24,249,101,42,259,98,22,222,68,10,9,4,2,1,False,739,271,76
106,510,no,no,0,210,96,35,249,85,21,191,88,8,12,1,3,2,True,662,270,67
128,510,no,yes,29,179,104,30,225,86,19,323,78,14,8,7,2,0,False,735,275,65
94,408,no,no,0,157,105,26,155,101,13,189,84,8,8,5,2,4,True,509,295,49
111,510,no,no,0,214,118,36,208,76,17,182,98,8,12,2,3,1,False,616,294,64
74,415,no,yes,35,154,104,26,123,84,10,202,57,9,10,9,2,2,False,489,254,47
128,415,no,no,0,237,125,40,247,93,21,208,68,9,13,4,3,1,True,705,290,73
82,510,no,no,0,143,61,24,194,105,16,109,94,4,11,2,3,1,False,457,262,47
155,415,no,no,0,203,100,34,190,104,16,196,119,8,8,4,2,0,True,597,327,60
80,415,no,no,0,124,100,21,173,107,14,253,62,11,7,9,2,1,False,557,278,48
78,415,no,no,0,252,93,42,178,112,15,263,105,11,9,7,2,3,False,702,317,70
90,415,no,no,0,179,71,30,190,81,16,127,91,5,10,7,2,3,False,506,250,53
104,408,no,no,0,278,106,47,81,113,6,163,137,7,9,5,2,1,False,531,361,62
73,415,no,no,0,160,110,27,213,72,18,174,72,7,13,4,3,0,False,560,258,55
99,415,no,no,0,198,87,33,207,76,17,190,113,8,8,3,2,4,False,603,279,60
120,408,no,no,0,212,131,36,209,104,17,167,96,7,5,5,1,1,True,593,336,61
77,415,no,no,0,251,72,42,205,126,17,275,109,12,9,7,2,2,True,740,314,73
98,510,no,yes,21,161,114,27,252,83,21,160,92,7,4,8,1,4,False,577,297,56
108,415,no,no,0,178,137,30,189,76,16,129,102,5,14,5,3,0,False,510,320,54
135,415,no,no,0,151,82,25,119,105,10,180,100,8,10,6,2,0,False,460,293,45
95,408,no,no,0,135,99,22,183,106,15,245,102,11,12,9,3,1,False,575,316,51
122,408,no,no,0,170,94,28,173,109,14,248,75,11,11,2,3,1,False,602,280,56
95,408,no,no,0,238,65,40,187,98,15,190,115,8,11,4,3,4,False,626,282,66
36,510,no,yes,29,281,102,47,202,76,17,187,113,8,9,6,2,2,False,679,297,74
93,510,no,yes,21,117,131,20,164,115,13,217,86,9,9,3,2,1,False,507,335,44
141,415,no,yes,32,148,91,25,131,97,11,219,142,9,10,1,2,1,False,508,331,47
157,408,no,no,0,229,90,39,147,121,12,241,108,10,9,7,2,3,False,626,326,63
120,408,no,no,0,165,100,28,317,83,26,119,86,5,8,8,2,1,False,609,277,61
103,415,no,no,0,185,117,31,223,94,18,222,91,10,12,2,3,2,False,642,304,62
98,408,no,no,0,161,117,27,190,113,16,227,113,10,12,4,3,4,False,590,347,56
125,408,no,no,0,126,108,21,206,90,17,247,114,11,13,7,3,1,False,592,319,52
63,415,no,no,0,58,125,10,169,59,14,211,88,9,9,3,2,1,False,447,275,35
36,510,yes,yes,42,196,89,33,254,122,21,138,126,6,20,6,5,0,True,608,343,65
64,510,no,no,0,162,83,27,152,109,12,57,122,2,14,3,3,1,False,385,317,44
74,415,no,no,0,282,114,48,219,48,18,170,115,7,9,4,2,1,True,680,281,75
112,510,no,yes,36,113,117,19,157,82,13,177,118,7,10,3,2,2,False,457,320,41
97,408,no,no,0,239,125,40,214,111,18,143,81,6,8,5,2,2,False,604,322,66
46,408,no,no,0,210,92,35,227,77,19,200,116,9,13,7,3,1,False,650,292,66
41,408,no,yes,22,213,102,36,141,86,12,142,123,6,7,3,1,0,False,503,314,55
121,510,no,no,0,190,103,32,183,117,15,220,103,9,9,4,2,3,False,602,327,58
193,415,no,no,0,170,124,29,132,95,11,112,89,5,11,3,3,1,False,425,311,48
130,510,no,no,0,154,119,26,110,98,9,227,117,10,9,5,2,2,False,500,339,47
85,408,no,no,0,201,52,34,229,104,19,252,106,11,12,3,3,1,False,694,265,67
162,415,no,no,0,70,108,12,157,87,13,154,82,6,9,3,2,4,True,390,280,33
61,510,no,yes,27,187,124,31,146,103,12,225,129,10,6,6,1,4,True,564,362,54
92,408,no,no,0,91,90,15,193,123,16,175,86,7,9,4,2,2,False,468,303,40
131,408,no,yes,36,214,115,36,161,117,13,264,102,11,9,4,2,3,False,648,338,62
90,415,no,no,0,145,92,24,217,114,18,146,123,6,10,2,2,3,False,518,331,50
75,408,no,no,0,166,125,28,158,86,13,256,80,11,6,5,1,1,False,586,296,53
78,415,no,no,0,231,115,39,230,140,19,261,120,11,9,3,2,1,False,731,378,71
82,408,no,no,0,200,96,34,201,102,17,206,60,9,7,1,1,4,False,614,259,61
163,408,no,no,0,197,109,33,202,128,17,206,80,9,9,10,2,1,False,614,327,61
91,510,yes,no,0,129,112,22,173,83,14,247,130,11,11,3,3,3,False,560,328,50
75,415,no,yes,21,175,97,29,217,106,18,237,134,10,5,4,1,5,False,634,341,58
91,510,no,no,0,203,106,34,210,113,17,195,129,8,12,3,3,3,False,620,351,62
127,510,no,yes,36,183,117,31,126,76,10,263,71,11,11,8,3,1,False,583,272,55
113,415,no,yes,23,205,101,34,152,60,12,158,59,7,10,5,2,2,False,525,225,55
110,510,no,no,0,148,115,25,276,84,23,193,112,8,12,3,3,1,False,629,314,59
120,415,no,yes,39,200,68,34,220,97,18,253,116,11,10,4,2,0,False,683,285,65
157,415,no,yes,28,192,107,32,195,74,16,109,139,4,6,5,1,3,False,502,325,53
103,510,no,no,0,246,47,41,195,84,16,200,96,9,11,4,3,1,False,652,231,69
117,408,yes,no,0,167,86,28,177,87,15,249,132,11,14,7,3,2,True,607,312,57
140,415,no,no,0,231,101,39,160,94,13,110,98,4,14,6,3,3,False,515,299,59
127,408,no,no,0,146,91,24,203,78,17,203,110,9,13,3,3,1,False,565,282,53
